N_cols   tau_mean_elw  tau_stdev_elw   tau_mean_ser  tau_stdev_ser  tau_mean_ser2  tau_stdev_ser2
    50   20880.885487     447.878003   20182.991257     227.274075   29690.749130     1771.044253
   150   71297.865601    1960.960239   69496.608887     468.448460   66344.483185      560.913685
   250  125328.509293    1165.726677  120867.779694     738.738892  112882.654037      656.193011
   350  184160.063171    1030.080193  181579.176636     755.466374  163993.036499      896.874706
   450  235282.548523    1276.440367  229340.027618     906.838379  203195.173950      992.756600
   550  376401.552429    2227.360408  369754.746704    1643.980537  313224.486389     1167.845598
   650  344077.343750    1603.959200  330624.243164    1877.813364  273529.154358     1783.997215
   750  410199.344177    1888.140422  396742.060242     853.065516  346044.667664     1691.347011
   850  593524.519043    1756.200838  584300.048828     824.006900  511563.462524     1752.170198
   950  567930.905762    2179.999444  553980.457764    1250.889492  502886.653442     1618.594520
  1050  719137.091675    2073.507209  709791.663208     702.112588  631229.287109     1567.049940
