N_mbins  tau_mean_elw  tau_stdev_elw  tau_mean_ser  tau_stdev_ser  tau_mean_ser2  tau_stdev_ser2
      8  43238.535042     990.864001  41245.135422     499.885534   40484.829903      435.923720
     16  39826.999931    1061.672293  37803.552437     428.595224   38118.387527      501.653018
     24  39563.497505    1001.896554  37559.808044     422.435782   38658.745728      706.517930
     32  39428.973503    1043.041275  37419.326820     446.247261   38548.254013      626.651484
     40  39663.295250    1031.846721  37564.307404     400.812982   38459.077187      607.782306
     48  39778.948135    1005.727149  37752.963715     462.189816   38719.328461      581.421581
     56  39615.006294    1001.422916  37618.288956     410.988667   38764.286041      488.481769
     64  39658.635483    1046.919755  37602.954369     362.960758   38858.260803      491.456567
     72  39616.344299     749.653903  37626.057930     371.093790   39109.826508      614.044553
     80  39740.588074    1070.631344  37713.399734     367.562582   39395.111275      645.912617
     88  39725.906944     995.796202  37705.851822     380.589488   39290.974846      374.689236
     96  39782.879715     990.520806  37785.502090     373.505553   39685.764847      435.435892
    104  39808.007469    1125.688530  37757.654457     455.285685   39730.974159      536.607351
    112  39849.525642    1088.218796  37774.658966     411.083145   40382.518997      437.705840
    120  39801.156845    1030.730988  37773.399429     442.885075   40698.564987      684.626156
    128  39867.893372     969.807802  37796.677246     449.053447   40592.486458      295.047164
    136  39763.977890     714.735104  37793.633575     479.521162   40631.711121      258.046060
    144  39856.638794     666.421115  37916.758423     456.814915   40548.509254      358.272999
    152  39957.956505     639.262932  37933.328438     495.104839   40715.265045      363.019381
    160  40008.663292    1179.046466  37926.363678     397.515348   40754.294357      454.499662
    168  39909.818001     973.473408  37874.531822     405.416602   40932.217827      389.311656
    176  39976.309853    1102.507186  37917.928810     446.328352   40945.239563      629.938516
    184  40806.113510    1115.639064  38949.434319     356.102511   41796.681252      490.462903
    192  42565.902061    1037.633555  40616.960297     311.281039   42230.129166      547.634322
    200  43527.082062     978.951377  41644.983673     468.110418   43058.422737      490.540819
    208  45585.170403    1156.927109  43893.644714     438.523480   43649.306908      754.006945
    216  47145.072250    1407.520965  45471.187057     441.496318   43968.861275      495.104209
    224  41541.131363    1099.592731  40150.272293     392.061421   45201.161957      610.418916
    232  41161.944885    1107.217473  39736.140137     512.183863   45149.781876      549.191903
    240  41188.681526    1338.516385  39796.768951     425.330301   45314.145050      613.333882
    248  41357.116318    1047.279441  39780.589828     362.721600   45743.583641      522.817981
    256  41364.901810    1165.275986  40025.544624     373.234214   46254.136353      836.939742
