N_nodes   tau_mean_elw  tau_stdev_elw   tau_mean_ser  tau_stdev_ser  tau_mean_ser2  tau_stdev_ser2
      8   39265.189705     529.709713   37486.722069     458.879975   38861.209373      482.435861
     16   40231.902771    1031.571321   38456.459007     418.378420   40517.160378      396.995906
     24   43525.256310    1170.324559   41373.056984     454.566712   42395.788078      563.899575
     32   42008.650131    1395.918661   40317.232552     482.526159   46041.684761      485.972574
     40   43669.948959    1296.659940   42237.865372     452.038884   48032.832680      472.736282
     48   46840.633965    1343.516789   45618.842964     364.945269   51163.663826      553.345782
     56   45147.779922    1756.256128   43595.136528     604.340332   53750.994225      463.927155
     64   51433.717499     995.589498   50236.368256     556.697916   59038.435783      772.579079
     72   58224.805641     780.501846   56935.858574     499.350023   68054.104385      634.496327
     80   75147.382050     429.481084   74269.463272     366.081437   81300.149384      450.230060
     88   54552.196159     974.248134   53093.340111     455.887028   74397.502213     1283.994199
     96   68527.933578     454.979378   67402.894135     445.655905   81896.741486     1010.529713
    104   79115.057602     311.115687   78213.383636     254.100798   94212.505875      766.861071
    112   59991.148148     493.634372   58467.917633     161.934886   80450.014420      625.534889
    120   69337.297974     265.796891   68252.921600     142.191336   88948.482437      716.174781
    128   79470.874252     141.344701   78480.056000     118.064286   96738.785858      508.746177
    136   95555.130386     141.476995   94620.838470     134.730185  105724.916153     1228.397090
    144  108133.861313     116.029197  107230.458145     113.767923  115310.506744      854.097054
    152  124015.366745     175.492093  123045.467377     109.503599  123482.199402      770.563044
    160  144955.394287     116.340381  144080.671997      86.179395  134584.683533     1233.304476
    168  116588.053589     147.559914  115569.284592     121.691287  126929.781952     1382.288392
    176  132203.396912     113.690678  131210.648956     102.061054  136248.454285     1327.371581
    184  143324.646149     113.551415  142384.723053     118.392407  144338.641205      801.413142
    192  157202.543945     106.584929  156244.530487      99.049206  152820.297699     1698.422520
    200  170664.511414      99.119066  169737.720337     102.633245  160608.777313     1313.673522
    208  188523.669434     131.833764  187633.778839     112.988583  170493.137665     1460.177730
    216  197087.038422     102.258590  196233.559875     140.306151  177472.576294     1159.644238
    224  145133.350677     116.668761  143337.355499     134.153243  155419.591370      865.549723
    232  156116.937866     110.680661  154181.132202      97.363993  159994.563141      968.235140
    240  166803.646088     176.930270  164901.810760     141.283237  168893.198853     1344.715767
    248  175952.223358     148.696244  174045.390320     135.044862  173173.722687     1165.919091
    256  183890.400238     104.923957  181970.524292     121.208814  181764.493408     1958.044446
