N_rows   tau_mean_elw  tau_stdev_elw   tau_mean_ser  tau_stdev_ser  tau_mean_ser2  tau_stdev_ser2
  2.00    1836.478715      76.346575    1821.982410      74.722007   15120.712624      324.403916
  2.25    1885.494717     196.529920    1900.133120     120.889323   14467.350731      283.618657
  2.50    1878.567039     138.876527    1916.165121     126.170749   14387.040911     1225.957457
  2.75    2081.755517     410.525267    2121.822077     365.391818   14294.654436      236.398949
  3.00    1973.472329     172.237332    1836.042560      76.861926   14313.437099      521.378188
  3.25    1882.396797     145.367896    1930.664967     114.194503   13937.577305      341.175523
  3.50    1830.752960     102.630961    1841.108799      72.289937   14592.296629      413.068627
  3.75    2018.388475     170.128393    1850.159678      65.876695   14191.594572      320.997954
  4.00    1883.774402     211.065200    2030.560639     382.219124   13979.558048      311.142986
  4.25    1827.575679      77.785800    1825.939198      39.065724   15276.781130      466.026622
  4.50    2075.819196      93.247391    2093.494725      37.903579   15596.772833      493.246882
  4.75    2983.993278     142.617988    2873.473914      64.820887   15898.978567      285.563228
  5.00    5391.877451     111.232831    5365.896626     236.432249   19513.801613      469.841802
  5.25    7984.004140     235.047179    7703.489285     106.341198   21996.469097      208.075061
  5.50   13895.321264     581.134547   13584.984589     235.760947   26849.399643      996.430225
  5.75   24670.233574     802.933662   23861.464958     330.799347   34168.546906     1387.281244
  6.00   42747.217560    1390.757324   41233.795586     476.890356   46307.345505      561.173386
  6.25   77223.875198    1426.136167   73737.893219     798.828808   72969.092407      818.297653
  6.50  134126.810303    1053.317286  129421.760559     550.136203  119960.590591      667.630740
  6.75  240052.310333    1519.437900  229682.856903    1250.886155  208115.769348     1514.518793
  7.00  429194.500732    3607.193285  405922.689819    1866.340251  366578.546753     1693.595323
